Studienland,Kontinent,Deutschnittstemperatur_2021,Außenhandel_Export_Mrd_2015,Außenhandel_Import_Mrd_2015,1995,2000,2005,2010,2015,2020,2021
Östereich,Europa,"7,35",58.20,37.30,5955.00,5889.00,10174.00,27350.00,27563.00,33836.00,
Niederlande,Europa,"10,39",79.20,87.90,836.00,3176.00,11896.00,23831.00,21530.00,24494.00,
Vereinigtes Königsreich,Europa,"9,38",89.00,38.40,8233.00,10115.00,11600.00,14950.00,15410.00,12670.00,
Schweiz,Europa,"6,42",49.10,42.10,4560.00,5142.00,7839.00,13436.00,14647.00,11932.00,12375.00
Vereinigte Staaten,Nordamerika,"10,0",113.70,60.20,9017.00,10128.00,8829.00,9458.00,10145.00,5364.00,8550.00
Türkei,Europa-Asien,"12,63",22.30,14.50,,96.00,202.00,1119.00,706.00,4261.00,
Frankreich,Europa,"11,57",102.80,66.80,5350.00,5378.00,6867.00,6252.00,6406.00,3823.00,
Ungarn,Europa,"11,57",21.80,23.80,458.00,520.00,1403.00,2101.00,3106.00,3415.00,3474.00
China,Asien,"8,19",71.30,91.90,,200.00,2736.00,4239.00,7536.00,3400.00,
Dänemark,Europa,"8,92",17.60,11.80,510.00,524.00,1002.00,2508.00,3554.00,3247.00,
Spanien,Europa,"14,25",38.70,26.40,1283.00,4111.00,1478.00,2714.00,2497.00,2067.00,
Schweden,Europa,"3,02",23.00,14.00,700.00,2033.00,2999.00,4134.00,4620.00,2037.00,
Portugal,Europa,"16,09",,,,296.00,295.00,420.00,1422.00,1732.00,
Italien,Europa,"13,50",58.00,49.00,1233.00,764.00,1607.00,1449.00,1412.00,1731.00,
Rumänien,Europa,"10,35",,,617.00,170.00,263.00,450.00,898.00,1686.00,1775.00
Bulgarien,Europa,"11,98",,,,26.00,27.00,61.00,722.00,1585.00,1732.00
Polen,Europa,"8,75",52.20,44.70,140.00,154.00,344.00,716.00,1090.00,1501.00,
Griechenland,Europa,"14,89",,,,,289.00,243.00,1637.00,1178.00,
Kanada,Nordamerika,"-3,71",,,681.00,769.00,1083.00,1434.00,1827.00,1095.00,
Australien,Australien,"22,06",,,180.00,378.00,1632.00,2044.00,1147.00,1078.00,
Lettland,Europa,"6,81",,,,26.00,67.00,155.00,973.00,1031.00,1001.00
Tschechien,Europa,"8,59",36.50,39.20,,28.00,237.00,394.00,569.00,953.00,
Slowakei,Europa,"8,78",,13.60,,8.00,18.00,424.00,562.00,909.00,
Japan,Asien,"12,36",17.00,20.20,239.00,255.00,352.00,557.00,777.00,833.00,
Finnland,Europa,"2,30",,,152.00,190.00,423.00,516.00,657.00,761.00,
Irland,Europa,"9,95",,,269.00,240.00,443.00,538.00,558.00,675.00,
Norwegen,Europa,"2,06",,16.20,272.00,439.00,570.00,1004.00,1306.00,638.00,
Litauen,Europa,"7,28",,,,,,10.00,176.00,514.00,570.00
Luxemburg,Europa,"9,81",,,,,,343.00,477.00,451.00,
Südafrika,Afrika,"18,06",,,,,,,787.00,425.00,
Belgien,Europa,"10,47",40.90,36.90,360.00,375.00,442.00,995.00,930.00,411.00,
Argentinien,Südamerika,"15,40",,,,,,,,376.00,
Russische Federation,Europa-Asien,"-3,64",21.60,30.10,,,170.00,189.00,376.00,256.00,
Brasilien,Südamerika,"25,58",,,,,,275.00,318.00,250.00,
Kroatien,Europa,"11,95",,,,4.00,4.00,10.00,116.00,239.00,
Israel,Asien,"20,87",,,,,,94.00,202.00,234.00,
Neuseeland,Australien,"11,23",,,116.00,237.00,970.00,1458.00,983.00,226.00,
Liechtenstein,Europa,"7,42",,,,,100.00,119.00,176.00,220.00,
Thailand,Asien,"26,91",,,230.00,14.00,85.00,389.00,180.00,176.00,
Vereinigte Arabische Emirate,Asien,"29,08",14.60,,,,,120.00,172.00,172.00,
Ukraine,Europa,"9,38",,,,,,,59.00,161.00,
Island,Europa,"2,40",,,,27.00,98.00,167.00,122.00,155.00,
Vatikanstadt,Europa,,,,230.00,180.00,161.00,200.00,142.00,124.00,
